page_id,opportunity_score,archetype,pos_30d,pos_drift,imp_30d,clicks_30d,ctr_observed_pct,ctr_expected_pct,ctr_deficit_pct,expected_recovered_clicks,reason_codes,recommended_action,urgency,rank
page_1492,45.1,1,12.4,2.85,8849,98,1.11,1.49,25.5,1129,"DECAY_POSITION_SLIP, CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",REWRITE_AND_UPDATE_METADATA,CRITICAL,54
page_1018,45.0,1,29.9,3.49,67933,308,0.45,0.5,8.5,2879,"DECAY_POSITION_SLIP, MONITOR_VOLATILITY",REWRITE_CONTENT_INTENT,HIGH,55
page_1176,45.0,2,3.8,0.04,81841,1994,2.44,6.33,61.5,25181,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,56
page_1477,45.0,2,2.4,-0.05,77090,3300,4.28,11.36,62.3,24019,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,57
page_1435,44.9,2,7.7,0.0,4911,38,0.77,2.68,71.2,1747,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,58
page_1359,44.8,2,2.8,0.05,49237,1715,3.48,9.3,62.6,15402,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,59
page_1002,44.7,2,8.6,0.11,108586,1052,0.97,2.34,58.7,31850,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,60
page_1101,44.7,2,7.8,-0.07,183039,1995,1.09,2.65,58.8,53843,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,61
page_1196,44.7,2,8.2,0.15,191641,2086,1.09,2.49,56.2,53861,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,62
page_1008,44.6,2,23.8,-0.02,17974,40,0.22,0.66,66.3,5955,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,63
page_1302,44.6,2,14.9,0.05,6079,22,0.36,1.17,69.2,2102,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,64
page_1218,44.5,2,4.1,-0.08,57337,1260,2.2,5.8,62.1,17800,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,65
page_1063,44.5,1,6.4,3.24,16972,480,2.83,3.35,15.7,1330,"DECAY_POSITION_SLIP, HIGH_IMP_LOW_CLICK",REWRITE_CONTENT_INTENT,HIGH,66
page_1404,44.4,1,16.1,3.16,32008,291,0.91,1.07,14.8,2364,DECAY_POSITION_SLIP,REWRITE_CONTENT_INTENT,HIGH,67
page_1086,44.4,2,3.0,0.04,51350,1713,3.34,8.73,61.8,15861,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,68
page_1160,44.3,1,14.7,3.12,49107,509,1.04,1.2,13.8,3379,DECAY_POSITION_SLIP,REWRITE_CONTENT_INTENT,HIGH,69
page_1161,44.0,2,24.6,-0.05,10499,22,0.21,0.63,66.7,3503,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,70
page_1097,44.0,1,9.8,2.85,7362,111,1.51,1.97,23.6,867,"DECAY_POSITION_SLIP, HIGH_IMP_LOW_CLICK",REWRITE_CONTENT_INTENT,HIGH,71
page_1163,44.0,2,6.9,0.08,72673,907,1.25,3.05,59.0,21445,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,72
page_1172,43.9,2,3.1,-0.01,55229,1765,3.2,8.2,61.0,16847,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,73
page_1185,43.9,2,14.5,0.09,143549,764,0.53,1.22,56.4,40471,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,74
page_1329,43.8,1,16.9,3.1,20674,175,0.85,1.01,15.9,1643,"DECAY_POSITION_SLIP, HIGH_IMP_LOW_CLICK",REWRITE_CONTENT_INTENT,HIGH,75
page_1346,43.8,2,3.2,0.01,25184,729,2.89,7.85,63.1,7947,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,76
page_1443,43.8,1,25.6,2.89,17795,86,0.48,0.6,19.6,1744,"DECAY_POSITION_SLIP, HIGH_IMP_LOW_CLICK",REWRITE_CONTENT_INTENT,HIGH,77
page_1287,43.8,2,10.8,0.15,25252,172,0.68,1.75,61.0,7705,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,78
page_1028,43.7,2,2.5,-0.09,22894,911,3.98,10.86,63.4,7254,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,79
page_1325,43.7,2,23.0,-0.03,24644,62,0.25,0.69,63.3,7805,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,80
page_1321,43.7,2,1.4,0.07,12450,988,7.94,22.27,64.4,4006,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,81
page_1119,43.7,2,19.0,-0.07,10521,31,0.29,0.87,66.2,3482,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,82
page_1137,43.5,2,7.0,0.08,38821,466,1.2,2.99,59.9,11630,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,83
page_1340,43.4,1,6.1,3.0,9766,283,2.9,3.58,19.0,928,"DECAY_POSITION_SLIP, HIGH_IMP_LOW_CLICK",REWRITE_CONTENT_INTENT,HIGH,84
page_1106,43.4,1,10.9,2.86,15966,224,1.4,1.74,19.6,1561,"DECAY_POSITION_SLIP, HIGH_IMP_LOW_CLICK",REWRITE_CONTENT_INTENT,HIGH,85
page_1238,43.4,2,11.7,0.02,178608,1260,0.71,1.59,55.7,49769,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,86
page_1474,43.4,2,1.9,-0.08,23306,1303,5.59,15.0,62.7,7309,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,87
page_1481,43.3,2,19.5,-0.03,9923,29,0.29,0.84,65.3,3241,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,88
page_1484,43.3,2,18.6,0.11,23472,82,0.35,0.89,60.8,7139,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,89
page_1102,43.3,1,10.2,3.03,60652,1004,1.66,1.88,12.1,3664,DECAY_POSITION_SLIP,REWRITE_CONTENT_INTENT,HIGH,90
page_1096,43.3,2,17.0,-0.09,16017,58,0.36,1.0,63.7,5104,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,91
page_1193,43.2,2,7.0,0.03,52337,649,1.24,3.04,59.2,15483,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,92
page_1170,43.2,2,5.3,0.07,52749,923,1.75,4.22,58.5,15440,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,93
page_1162,43.2,2,15.6,0.02,24289,103,0.42,1.11,61.8,7504,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,94
page_1122,43.2,1,14.6,2.88,55541,574,1.03,1.21,14.7,4095,DECAY_POSITION_SLIP,REWRITE_CONTENT_INTENT,HIGH,95
page_1265,43.1,2,14.7,-0.02,7169,29,0.4,1.19,66.1,2368,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,96
page_1036,43.1,1,25.8,2.58,12822,58,0.45,0.6,24.0,1538,"DECAY_POSITION_SLIP, HIGH_IMP_LOW_CLICK",REWRITE_CONTENT_INTENT,HIGH,97
page_1355,43.0,2,5.7,-0.11,108819,1844,1.69,3.91,56.7,30854,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,98
page_1250,43.0,1,8.6,2.84,46046,911,1.98,2.34,15.4,3554,"DECAY_POSITION_SLIP, HIGH_IMP_LOW_CLICK",REWRITE_CONTENT_INTENT,HIGH,99
page_1204,43.0,2,2.7,-0.0,37602,1474,3.92,9.84,60.2,11313,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,100
page_1027,43.0,2,7.7,0.03,97898,1131,1.16,2.66,56.5,27663,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,101
page_1463,43.0,2,10.5,0.05,58254,444,0.76,1.81,58.0,16888,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,102
page_1045,43.0,2,9.8,-0.01,52946,430,0.81,1.99,59.2,15661,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,103
page_1166,43.0,1,11.8,2.88,51605,694,1.34,1.57,14.4,3712,DECAY_POSITION_SLIP,REWRITE_CONTENT_INTENT,HIGH,104
page_1315,43.0,2,13.6,0.05,56358,312,0.55,1.32,58.2,16390,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,105
page_1322,43.0,2,9.2,0.03,107804,1013,0.94,2.15,56.2,30289,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,106
page_1402,43.0,2,5.5,-0.02,5261,71,1.35,4.07,66.8,1757,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,107
page_1110,42.9,1,6.7,2.77,47962,1291,2.69,3.2,16.0,3833,"DECAY_POSITION_SLIP, HIGH_IMP_LOW_CLICK",REWRITE_CONTENT_INTENT,HIGH,108
page_1144,42.9,1,8.7,2.82,10490,192,1.83,2.3,20.4,1070,"DECAY_POSITION_SLIP, HIGH_IMP_LOW_CLICK",REWRITE_CONTENT_INTENT,HIGH,109
page_1089,42.9,1,9.4,2.82,9008,149,1.65,2.09,20.9,943,"DECAY_POSITION_SLIP, HIGH_IMP_LOW_CLICK",REWRITE_CONTENT_INTENT,HIGH,110
page_1491,42.9,2,17.8,0.08,27347,104,0.38,0.95,59.8,8178,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,111
page_1173,42.9,1,18.2,2.73,10216,73,0.71,0.92,22.0,1124,"DECAY_POSITION_SLIP, HIGH_IMP_LOW_CLICK",REWRITE_CONTENT_INTENT,HIGH,112
page_1344,42.9,1,9.5,2.97,37770,672,1.78,2.07,14.0,2635,DECAY_POSITION_SLIP,REWRITE_CONTENT_INTENT,HIGH,113
page_1268,42.9,1,13.9,2.81,27031,287,1.06,1.29,17.6,2373,"DECAY_POSITION_SLIP, HIGH_IMP_LOW_CLICK",REWRITE_CONTENT_INTENT,HIGH,114
page_1054,42.9,2,22.1,0.06,317120,1096,0.35,0.72,52.0,82510,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,115
page_1352,42.8,2,6.2,0.01,32802,459,1.4,3.51,60.2,9871,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,116
page_1480,42.8,2,9.1,-0.01,90693,847,0.93,2.16,56.8,25743,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,117
page_1320,42.8,2,20.3,-0.08,18160,55,0.3,0.8,62.3,5653,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,118
page_1147,42.8,2,17.3,-0.01,57933,236,0.41,0.98,58.3,16884,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,119
page_1087,42.8,2,4.2,-0.12,12753,264,2.07,5.67,63.5,4046,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,120
page_1255,42.7,2,20.1,0.0,32215,104,0.32,0.81,60.2,9689,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,121
page_1188,42.7,2,19.5,0.02,21386,70,0.33,0.84,61.2,6541,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,122
page_1337,42.7,2,9.9,0.03,61729,516,0.84,1.97,57.5,17760,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,123
page_1044,42.7,1,21.0,3.22,61073,433,0.71,0.77,7.8,2396,DECAY_POSITION_SLIP,REWRITE_CONTENT_INTENT,HIGH,124
page_1327,42.7,2,9.4,-0.02,82302,735,0.89,2.08,57.1,23479,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,125
page_1432,42.7,2,24.6,0.07,37498,98,0.26,0.63,58.5,10974,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,126
page_1221,42.6,2,5.5,0.11,11745,182,1.55,4.03,61.6,3615,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,127
page_1200,42.6,2,13.8,-0.13,74845,417,0.56,1.29,57.0,21316,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,128
page_1138,42.6,1,12.3,2.94,19302,242,1.25,1.49,16.0,1540,"DECAY_POSITION_SLIP, HIGH_IMP_LOW_CLICK",REWRITE_CONTENT_INTENT,HIGH,129
page_1487,42.5,1,16.2,2.94,34412,316,0.92,1.06,13.8,2366,DECAY_POSITION_SLIP,REWRITE_CONTENT_INTENT,HIGH,130
page_1187,42.5,2,7.9,-0.06,6930,63,0.91,2.58,64.8,2243,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,131
page_1361,42.5,2,12.0,0.07,15605,93,0.6,1.53,61.1,4770,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,132
page_1231,42.5,2,20.4,-0.13,16789,51,0.3,0.79,61.8,5186,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,133
page_1229,42.5,2,5.0,-0.08,29996,548,1.83,4.55,59.9,8979,"CTR_UNDERPERFORMING, HIGH_IMP_LOW_CLICK",OPTIMIZE_METADATA_TITLES,HIGH,134
